,PID,CM_ID,GIS_ID,ST_NUM,ST_NAME,ST_NAME_SUF,UNIT_NUM,ZIPCODE,PTYPE,LU,AV_LAND,AV_BLDG,AV_TOTAL,GROSS_TAX,LAND_SF,YR_BUILT,YR_REMOD,GROSS_AREA,LIVING_AREA,NUM_FLOORS,STRUCTURE_CLASS,R_BLDG_STYL,R_ROOF_TYP,R_EXT_FIN,R_TOTAL_RMS,R_BDRMS,R_FULL_BTH,R_HALF_BTH,R_BTH_STYLE,R_BTH_STYLE2,R_BTH_STYLE3,R_KITCH,R_KITCH_STYLE,R_KITCH_STYLE2,R_KITCH_STYLE3,R_HEAT_TYP,R_AC,R_FPLACE,R_EXT_CND,R_OVRALL_CND,R_INT_CND,R_INT_FIN,R_VIEW,S_NUM_BLDG,S_BLDG_STYL,S_UNIT_RES,S_UNIT_COM,S_UNIT_RC,S_EXT_FIN,S_EXT_CND,U_BASE_FLOOR,U_NUM_PARK,U_CORNER,U_ORIENT,U_TOT_RMS,U_BDRMS,U_FULL_BTH,U_HALF_BTH,U_BTH_STYLE,U_BTH_STYLE2,U_BTH_STYLE3,U_KITCH_TYPE,U_KITCH_STYLE,U_HEAT_TYP,U_AC,U_FPLACE,U_INT_FIN,U_INT_CND,U_VIEW,lat,lng
21,502554000,502554000,502554000,91,BEACON,ST,,2108,995,CM,0,0,0,0,2519.0,1899,2008,0.0,0.0,5.0,R,,,,,,,,,,,,,,,,,,,,,,,,RE,3.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.3557709,-71.07201839999999
204,100145000,100145000,100145000,410,SARATOGA,ST,,2128,995,CM,0,0,0,0,1653.0,1900,2015,0.0,0.0,3.0,R,RE,F,M,16.0,5.0,3.0,0.0,S,S,S,3.0,S,S,S,S,N,0.0,A,A,A,N,A,,RE,3.0,0.0,0.0,B,A,,,,,,,,,,,,,,,,,,,,42.3793195,-71.029545
215,100153000,100153000,100153000,265,LEXINGTON,ST,,2128,995,CM,0,0,0,0,1900.0,1899,2005,0.0,0.0,3.0,D,,,,,,,,,,,,,,,,,,,,,,,,RM,4.0,0.0,0.0,M,A,,,,,,,,,,,,,,,,,,,,42.3803,-71.029997
220,100154000,100154000,100154000,267,LEXINGTON,ST,,2128,995,CM,0,0,0,0,1900.0,1910,2000,0.0,0.0,3.0,D,,,,,,,,,,,,,,,,,,,,,,,,RM,4.0,0.0,0.0,W,A,,,,,,,,,,,,,,,,,,,,42.380325,-71.029933
304,100177000,100177000,100177000,5,SHELBY,ST,,2128,995,CM,0,0,0,0,2087.0,1900,2016,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,DK,3.0,0.0,0.0,M,G,,,,,,,,,,,,,,,,,,,,42.3808624,-71.02821010000001
314,100181000,100181000,100181000,318,PRINCETON,ST,,2128,995,CM,0,0,0,0,2500.0,1890,2016,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,DK,3.0,0.0,0.0,M,G,,,,,,,,,,,,,,,,,,,,42.3805232,-71.0283958
332,100194000,100194000,100194000,284,PRINCETON,ST,,2128,995,CM,0,0,0,0,2500.0,1900,2016,3318.0,1916.0,2.0,R,,,,,,,,,,,,,,,,,,,,,,,,TH,2.0,0.0,0.0,M,A,,,,,,,,,,,,,,,,,,,,42.380184,-71.029482
337,100196000,100196000,100196000,276,PRINCETON,ST,,2128,995,CM,0,0,0,0,2500.0,1900,0,0.0,0.0,3.0,R,DK,F,M,15.0,7.0,3.0,0.0,S,S,S,3.0,S,S,S,W,N,0.0,A,A,A,N,A,,DK,3.0,0.0,0.0,F,G,,,,,,,,,,,,,,,,,,,,42.3800621,-71.029603
395,100250000,100250000,100250000,266,LEXINGTON,ST,,2128,995,CM,0,0,0,0,2500.0,1900,2016,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,DK,3.0,0.0,0.0,M,G,,,,,,,,,,,,,,,,,,,,42.380596,-71.0302298
405,100257000,100257000,100257000,325,E EAGLE,ST,,2128,995,CM,0,0,0,0,2231.0,1890,2017,0.0,0.0,3.0,R,DK,F,M,14.0,6.0,5.0,1.0,M,M,M,3.0,M,M,M,F,C,0.0,G,G,G,N,F,,DK,3.0,0.0,0.0,M,G,,,,,,,,,,,,,,,,,,,,42.3812498,-71.0277483
